timestamp,open,high,low,close,volume
2024-01-09 01:00:00,0.045452,0.045609,0.043772,0.044357,28173
2024-01-09 05:00:00,0.044338,0.045499,0.044170,0.044687,23952
2024-01-09 09:00:00,0.044804,0.044804,0.043507,0.043800,31688
2024-01-09 13:00:00,0.043799,0.043907,0.042194,0.042650,49739
2024-01-09 17:00:00,0.042651,0.043608,0.042462,0.043228,21347
2024-01-09 21:00:00,0.043418,0.043611,0.042244,0.043433,164531
2024-01-10 01:00:00,0.043541,0.044048,0.042981,0.043586,124700
2024-01-10 05:00:00,0.043632,0.044591,0.042599,0.042750,21671
2024-01-10 09:00:00,0.042750,0.043384,0.042200,0.042972,20577
2024-01-10 13:00:00,0.042944,0.043175,0.041402,0.042375,214739
2024-01-10 17:00:00,0.042500,0.043031,0.042070,0.042758,82638
2024-01-10 21:00:00,0.042774,0.045827,0.042126,0.045001,161736
2024-01-11 01:00:00,0.044951,0.045697,0.044350,0.044938,126265
2024-01-11 05:00:00,0.044938,0.045258,0.044249,0.044697,29031
2024-01-11 09:00:00,0.044675,0.046331,0.044505,0.046034,5759
2024-01-11 13:00:00,0.046154,0.048897,0.045401,0.045800,175206
2024-01-11 17:00:00,0.045951,0.046284,0.045200,0.045968,47938
2024-01-11 21:00:00,0.045967,0.046813,0.045615,0.046572,36928
2024-01-12 01:00:00,0.046571,0.049349,0.046323,0.047731,56411
2024-01-12 05:00:00,0.047731,0.050143,0.047541,0.048088,542523
2024-01-12 09:00:00,0.048089,0.048825,0.047646,0.048275,27299
2024-01-12 13:00:00,0.048251,0.048410,0.046056,0.046275,112463
2024-01-12 17:00:00,0.046300,0.046787,0.044352,0.045002,148055
2024-01-12 21:00:00,0.045018,0.045740,0.042848,0.044440,90753
2024-01-13 01:00:00,0.044448,0.045173,0.043212,0.043709,19595
2024-01-13 05:00:00,0.043707,0.045085,0.043496,0.044786,12749
2024-01-13 09:00:00,0.044787,0.044952,0.043777,0.044238,65309
2024-01-13 13:00:00,0.044238,0.045148,0.043537,0.044912,128743
2024-01-13 17:00:00,0.044917,0.045370,0.044376,0.044979,56830
