timestamp,open,high,low,close,volume
2024-02-24 21:45:00,8.2592,8.2827,8.2520,8.2678,8.1
2024-02-24 22:00:00,8.2697,8.2989,8.2512,8.2977,9.1
2024-02-24 22:15:00,8.3012,8.3170,8.2209,8.2209,5.8
2024-02-24 22:30:00,8.2277,8.2277,8.1513,8.1574,1695.0
2024-02-24 22:45:00,8.1608,8.2101,8.1563,8.1880,9.1
2024-02-24 23:00:00,8.1902,8.2118,8.1293,8.1540,19.4
2024-02-24 23:15:00,8.1558,8.1671,8.1339,8.1668,3.6
2024-02-24 23:30:00,8.1660,8.1671,8.1127,8.1322,17.1
2024-02-24 23:45:00,8.1322,8.1430,8.1090,8.1402,4.3
2024-02-25 00:00:00,8.1389,8.1465,8.1156,8.1354,20.3
2024-02-25 00:15:00,8.1323,8.1323,8.0924,8.0975,4.0
2024-02-25 00:30:00,8.1019,8.1813,8.0709,8.1673,8.4
2024-02-25 00:45:00,8.1673,8.1841,8.1383,8.1482,13.1
2024-02-25 01:00:00,8.1505,8.2850,8.1215,8.2850,8.8
2024-02-25 01:15:00,8.2745,8.3965,8.2440,8.3867,61.4
2024-02-25 01:30:00,8.3843,8.3969,8.3135,8.3232,34.5
2024-02-25 01:45:00,8.3232,8.4370,8.3144,8.4308,16.0
2024-02-25 02:00:00,8.4487,8.7329,8.4487,8.6514,197.9
2024-02-25 02:15:00,8.6369,8.7550,8.6369,8.7314,195.6
2024-02-25 02:30:00,8.7233,8.8161,8.6819,8.7862,106.4
2024-02-25 02:45:00,8.7925,8.8712,8.7313,8.8438,30.4
2024-02-25 03:00:00,8.8549,8.8764,8.7589,8.8039,19.2
2024-02-25 03:15:00,8.7929,9.0232,8.7587,9.0100,586.3
2024-02-25 03:30:00,9.0700,9.2899,9.0496,9.1020,452.7
2024-02-25 03:45:00,9.1068,9.1621,9.0251,9.1200,393.4
2024-02-25 04:00:00,9.1154,9.1334,8.8484,8.9130,715.4
2024-02-25 04:15:00,8.9269,8.9269,8.6914,8.8497,843.3
2024-02-25 04:30:00,8.8573,8.8928,8.7698,8.8165,1124.6
2024-02-25 04:45:00,8.8276,8.9728,8.7826,8.9483,83.3
2024-02-25 05:00:00,8.9411,9.0485,8.8662,9.0485,342.9
2024-02-25 05:15:00,9.0989,9.1890,8.9449,8.9525,96.3
2024-02-25 05:30:00,8.9496,9.0066,8.8316,8.8844,25.4
2024-02-25 05:45:00,8.8841,9.0025,8.8791,9.0025,13.1
2024-02-25 06:00:00,8.9928,9.0576,8.9820,9.0503,156.1
2024-02-25 06:15:00,9.0560,9.0560,8.9458,8.9637,14.5
2024-02-25 06:30:00,8.9610,9.0356,8.9610,9.0189,5.3
2024-02-25 06:45:00,9.0039,9.1389,8.9855,9.1135,241.0
2024-02-25 07:00:00,9.1058,9.2016,8.9836,9.0525,313.9
2024-02-25 07:15:00,9.0525,9.1278,8.9779,9.1236,15.7
2024-02-25 07:30:00,9.1225,9.1845,9.0792,9.1668,31.5
2024-02-25 07:45:00,9.1690,9.2184,9.0976,9.1432,962.9
2024-02-25 08:00:00,9.1442,9.4464,9.0830,9.2698,75.9
2024-02-25 08:15:00,9.2644,9.3734,9.2089,9.3375,56.1
2024-02-25 08:30:00,9.3302,9.3648,9.2738,9.2972,312.0
2024-02-25 08:45:00,9.3049,9.3080,9.2031,9.2424,11.4
2024-02-25 09:00:00,9.2373,9.2541,9.1584,9.1730,21.0
2024-02-25 09:15:00,9.1719,9.3029,9.1719,9.2987,533.2
2024-02-25 09:30:00,9.2828,9.3324,9.2185,9.2185,34.1
2024-02-25 09:45:00,9.2111,9.2584,8.9651,8.9779,129.3
2024-02-25 10:00:00,8.9878,9.0508,8.9356,8.9991,201.2
2024-02-25 10:15:00,9.0215,9.0430,8.9216,8.9784,574.6
2024-02-25 10:30:00,8.9875,9.1071,8.9875,9.0945,45.9
2024-02-25 10:45:00,9.1139,9.1391,9.1018,9.1183,17.0
2024-02-25 11:00:00,9.1262,9.1884,9.1110,9.1447,73.5
2024-02-25 11:15:00,9.1433,9.1433,9.0658,9.0702,16.1
2024-02-25 11:30:00,9.0682,9.1339,9.0682,9.0907,11.3
2024-02-25 11:45:00,9.0941,9.1719,9.0606,9.0606,334.2
2024-02-25 12:00:00,9.0687,9.0739,9.0088,9.0444,11.0
2024-02-25 12:15:00,9.0427,9.1548,9.0061,9.1390,13.1
2024-02-25 12:30:00,9.1532,9.1719,9.1250,9.1677,25.4
2024-02-25 12:45:00,9.1689,9.1756,9.1299,9.1517,27.8
2024-02-25 13:00:00,9.1444,9.1444,9.0409,9.0523,23.1
2024-02-25 13:15:00,9.0596,9.0749,8.9788,8.9995,41.5
2024-02-25 13:30:00,9.0005,9.0111,8.9297,8.9991,226.9
2024-02-25 13:45:00,8.9998,9.0815,8.9998,9.0030,94.5
2024-02-25 14:00:00,9.0223,9.0378,8.8160,8.8160,51.8
2024-02-25 14:15:00,8.8271,8.9001,8.7835,8.8213,1879.0
2024-02-25 14:30:00,8.8142,8.8749,8.8142,8.8438,5.0
2024-02-25 14:45:00,8.8512,8.8756,8.7296,8.7296,70.3
2024-02-25 15:00:00,8.7399,8.8015,8.7204,8.7723,1742.0
2024-02-25 15:15:00,8.7833,8.8503,8.7504,8.8338,1696.9
2024-02-25 15:30:00,8.8343,8.8987,8.7837,8.8545,7.9
2024-02-25 15:45:00,8.8482,8.8760,8.8173,8.8378,21.0
2024-02-25 16:00:00,8.8318,8.9613,8.7750,8.9251,68.0
2024-02-25 16:15:00,8.9236,8.9236,8.8633,8.8633,20.2
2024-02-25 16:30:00,8.8637,8.8739,8.8088,8.8210,12.8
2024-02-25 16:45:00,8.8255,8.8255,8.7091,8.7946,26.5
2024-02-25 17:00:00,8.7960,8.8743,8.7160,8.8546,16.4
2024-02-25 17:15:00,8.8671,8.8804,8.7281,8.7682,21.2
2024-02-25 17:30:00,8.7710,8.8363,8.7595,8.8313,57.3
2024-02-25 17:45:00,8.8241,8.8494,8.7704,8.8010,16.2
2024-02-25 18:00:00,8.8041,8.8408,8.7878,8.7878,5.3
2024-02-25 18:15:00,8.7843,8.8355,8.7695,8.8235,7.7
2024-02-25 18:30:00,8.8199,8.9029,8.8199,8.8992,15.0
2024-02-25 18:45:00,8.9038,8.9325,8.8744,8.8838,6.7
2024-02-25 19:00:00,8.8920,8.9052,8.8282,8.8472,17.4
