timestamp,open,high,low,close,volume
2024-02-21 18:30:00,8.4247,8.4250,8.3317,8.3317,1.99
2024-02-21 19:00:00,8.3317,8.3728,8.2731,8.2755,16.88
2024-02-21 19:30:00,8.2763,8.3255,8.2763,8.3079,0.69
2024-02-21 20:00:00,8.3222,8.3839,8.3049,8.3494,0.70
2024-02-21 20:30:00,8.3513,8.3700,8.3312,8.3606,0.73
2024-02-21 21:00:00,8.3606,8.3781,8.3425,8.3693,0.77
2024-02-21 21:30:00,8.3681,8.3764,8.3266,8.3360,0.66
2024-02-21 22:00:00,8.3516,8.3830,8.3321,8.3830,0.70
2024-02-21 22:30:00,8.3840,8.4372,8.3773,8.4359,2.00
2024-02-21 23:00:00,8.4364,8.4597,8.4036,8.4486,0.68
2024-02-21 23:30:00,8.4402,8.4824,8.4402,8.4780,1.94
2024-02-22 00:00:00,8.4780,8.5054,8.4619,8.4817,0.64
2024-02-22 00:30:00,8.4717,8.5239,8.4469,8.5108,0.61
2024-02-22 01:00:00,8.5090,8.5090,8.4708,8.5010,0.67
2024-02-22 01:30:00,8.5013,8.5036,8.4521,8.4595,0.73
2024-02-22 02:00:00,8.4615,8.4949,8.4408,8.4798,0.70
2024-02-22 02:30:00,8.4683,8.4701,8.3435,8.3435,2.07
2024-02-22 03:00:00,8.3435,8.4089,8.3368,8.3955,0.77
2024-02-22 03:30:00,8.3976,8.4071,8.3348,8.3408,0.74
2024-02-22 04:00:00,8.3431,8.3701,8.2720,8.2969,5.54
2024-02-22 04:30:00,8.2970,8.3161,8.2642,8.3041,0.66
2024-02-22 05:00:00,8.3050,8.3052,8.2725,8.2843,0.67
2024-02-22 05:30:00,8.2866,8.3252,8.2701,8.3095,0.75
2024-02-22 06:00:00,8.3110,8.3427,8.2101,8.2579,37.43
2024-02-22 06:30:00,8.2581,8.3007,8.2177,8.2652,0.62
2024-02-22 07:00:00,8.2652,8.3124,8.2544,8.2985,0.65
2024-02-22 07:30:00,8.2951,8.4240,8.2802,8.4208,3.41
2024-02-22 08:00:00,8.4231,8.4231,8.3554,8.3991,0.68
2024-02-22 08:30:00,8.3996,8.4422,8.3996,8.4258,0.70
2024-02-22 09:00:00,8.4261,8.4989,8.4185,8.4599,2.04
2024-02-22 09:30:00,8.4616,8.5142,8.4331,8.5111,0.68
2024-02-22 10:00:00,8.5120,8.5199,8.4958,8.5142,0.63
2024-02-22 10:30:00,8.5156,8.5239,8.4545,8.5224,0.65
2024-02-22 11:00:00,8.5224,8.5359,8.4850,8.5346,1.16
2024-02-22 11:30:00,8.5248,8.5653,8.4674,8.5095,0.81
2024-02-22 12:00:00,8.5113,8.5113,8.4207,8.5024,28.78
2024-02-22 12:30:00,8.5021,8.5359,8.4794,8.5189,1.13
2024-02-22 13:00:00,8.5189,8.5816,8.5018,8.5709,1.68
2024-02-22 13:30:00,8.5685,8.5824,8.4801,8.5236,0.72
2024-02-22 14:00:00,8.5115,8.5247,8.4177,8.4402,2.06
2024-02-22 14:30:00,8.4480,8.4527,8.3582,8.4213,2.08
2024-02-22 15:00:00,8.4198,8.4995,8.4198,8.4479,2.02
2024-02-22 15:30:00,8.4499,8.5261,8.4499,8.5164,0.73
2024-02-22 16:00:00,8.5150,8.5164,8.4550,8.5025,0.71
2024-02-22 16:30:00,8.4998,8.5683,8.4998,8.5608,50.51
2024-02-22 17:00:00,8.5560,8.5631,8.4757,8.5011,10.99
2024-02-22 17:30:00,8.4911,8.5052,8.4291,8.4469,1.99
2024-02-22 18:00:00,8.4469,8.4870,8.4151,8.4185,29.91
2024-02-22 18:30:00,8.4208,8.4686,8.4164,8.4421,0.69
2024-02-22 19:00:00,8.4403,8.4500,8.4154,8.4270,200.59
2024-02-22 19:30:00,8.4271,8.4906,8.4136,8.4698,87.71
2024-02-22 20:00:00,8.4700,8.4793,8.4286,8.4546,0.76
2024-02-22 20:30:00,8.4540,8.4622,8.4177,8.4335,0.65
2024-02-22 21:00:00,8.4361,8.4880,8.4023,8.4880,54.05
2024-02-22 21:30:00,8.4896,8.5071,8.4391,8.4708,0.70
2024-02-22 22:00:00,8.4748,8.4796,8.4325,8.4468,0.65
2024-02-22 22:30:00,8.4483,8.4483,8.3185,8.3239,21.22
2024-02-22 23:00:00,8.3240,8.3380,8.1442,8.1547,58.39
2024-02-22 23:30:00,8.1369,8.2430,8.1369,8.2199,2.92
2024-02-23 00:00:00,8.2161,8.2444,8.1502,8.1663,2.97
2024-02-23 00:30:00,8.1631,8.1886,8.1356,8.1592,133.33
2024-02-23 01:00:00,8.1626,8.2094,8.1307,8.2094,79.02
2024-02-23 01:30:00,8.2012,8.2370,8.1958,8.2370,0.70
2024-02-23 02:00:00,8.2371,8.2431,8.1995,8.2034,0.62
2024-02-23 02:30:00,8.2026,8.2151,8.1451,8.1496,0.72
2024-02-23 03:00:00,8.1406,8.2116,8.1406,8.1496,0.70
2024-02-23 03:30:00,8.1497,8.1830,8.0798,8.0900,2.03
2024-02-23 04:00:00,8.0968,8.1048,8.0532,8.0845,0.77
2024-02-23 04:30:00,8.0855,8.1322,8.0742,8.0979,0.72
2024-02-23 05:00:00,8.0981,8.1575,8.0593,8.1453,0.71
2024-02-23 05:30:00,8.1561,8.1642,8.1446,8.1468,0.66
2024-02-23 06:00:00,8.1466,8.1792,8.1456,8.1754,0.70
