timestamp,open,high,low,close,volume
2024-02-21 18:30:00,32399,32578,32396,32547,0.7020
2024-02-21 19:00:00,32549,32651,32498,32628,0.4287
2024-02-21 19:30:00,32610,32764,32601,32704,0.6329
2024-02-21 20:00:00,32704,32716,32546,32610,0.2437
2024-02-21 20:30:00,32599,32853,32583,32822,0.7901
2024-02-21 21:00:00,32827,32841,32672,32672,0.1475
2024-02-21 21:30:00,32670,32733,32608,32697,0.0684
2024-02-21 22:00:00,32689,32760,32599,32722,0.1472
2024-02-21 22:30:00,32726,32763,32607,32618,0.0672
2024-02-21 23:00:00,32635,32830,32635,32732,0.7999
2024-02-21 23:30:00,32757,32778,32653,32753,0.4878
2024-02-22 00:00:00,32771,33000,32756,32835,1.1218
2024-02-22 00:30:00,32841,33053,32790,32825,0.5161
2024-02-22 01:00:00,32791,32816,32631,32666,0.3864
2024-02-22 01:30:00,32639,32736,32572,32711,1.2811
2024-02-22 02:00:00,32727,32928,32695,32910,0.6152
2024-02-22 02:30:00,32924,32975,32701,32714,1.4151
2024-02-22 03:00:00,32705,32783,32635,32748,0.6556
2024-02-22 03:30:00,32739,32753,32641,32641,0.1528
2024-02-22 04:00:00,32644,32737,32639,32699,0.2265
2024-02-22 04:30:00,32702,32718,32645,32701,0.1847
2024-02-22 05:00:00,32685,32716,32504,32526,0.8064
2024-02-22 05:30:00,32533,32537,32485,32525,0.3010
2024-02-22 06:00:00,32527,32674,32499,32647,0.1844
2024-02-22 06:30:00,32649,32667,32535,32598,0.1576
2024-02-22 07:00:00,32599,32619,32558,32569,0.0145
2024-02-22 07:30:00,32577,32794,32567,32762,0.3458
2024-02-22 08:00:00,32769,32959,32769,32911,0.1514
2024-02-22 08:30:00,32907,33132,32901,33126,1.4558
2024-02-22 09:00:00,33119,33299,32946,32964,2.5180
2024-02-22 09:30:00,32981,33112,32868,33076,1.5512
2024-02-22 10:00:00,33076,33152,33053,33096,0.5548
2024-02-22 10:30:00,33068,33203,32933,33203,0.1962
2024-02-22 11:00:00,33139,33184,32967,32973,0.3691
2024-02-22 11:30:00,32988,32993,32861,32873,0.4290
2024-02-22 12:00:00,32884,32924,32678,32698,0.3846
2024-02-22 12:30:00,32686,32758,32639,32656,0.3343
2024-02-22 13:00:00,32657,32819,32595,32660,2.0199
2024-02-22 13:30:00,32646,32664,32445,32445,1.4008
2024-02-22 14:00:00,32444,32468,32222,32349,0.9349
2024-02-22 14:30:00,32366,32420,32275,32347,0.1191
2024-02-22 15:00:00,32309,32361,32136,32231,2.3929
2024-02-22 15:30:00,32221,32355,32190,32312,0.6311
2024-02-22 16:00:00,32311,32408,32262,32382,0.0394
